車次,行駛日,南港,台北,板橋,桃園,新竹,苗栗,台中,彰化,雲林,嘉義,台南,左營
0121,1234567,10:20,10:31,10:39,--:--,--:--,--:--,11:20,--:--,--:--,--:--,--:--,12:05
0627,1234567,10:35,10:46,10:55,11:10,11:22,--:--,11:48,--:--,--:--,12:14,12:33,12:45
1217,-----6-,10:40,10:51,10:59,--:--,--:--,--:--,11:40,--:--,--:--,--:--,12:18,12:30
0821,1234567,11:00,11:11,11:19,11:34,11:47,11:58,12:17,12:30,12:41,12:55,13:13,13:25
1631,-----6-,11:10,11:21,11:29,11:43,11:56,--:--,12:25,--:--,--:--,12:50,13:07,13:20
0125,1234567,11:20,11:31,11:39,--:--,--:--,--:--,12:20,--:--,--:--,--:--,--:--,13:05
0633,1234567,11:35,11:46,11:55,12:10,12:22,--:--,12:48,--:--,--:--,13:14,13:33,13:45
0825,1234567,12:00,12:11,12:19,12:34,12:47,12:58,13:17,13:30,13:41,13:55,14:13,14:25
1637,----5--,12:10,12:21,12:29,12:43,12:56,--:--,13:25,--:--,--:--,13:50,14:07,14:20
0129,1234567,12:20,12:31,12:39,--:--,--:--,--:--,13:20,--:--,--:--,--:--,--:--,14:05
0639,1234567,12:35,12:46,12:55,13:10,13:22,--:--,13:48,--:--,--:--,14:14,14:33,14:45
0829,1234567,13:00,13:11,13:19,13:34,13:47,13:58,14:17,14:30,14:41,14:55,15:13,15:25
1643,----567,13:10,13:21,13:29,13:43,13:56,--:--,14:25,--:--,--:--,14:50,15:07,15:20
0133,1234567,13:20,13:31,13:39,--:--,--:--,--:--,14:20,--:--,--:--,--:--,--:--,15:05
0645,1234567,13:35,13:46,13:55,14:10,14:22,--:--,14:48,--:--,--:--,15:14,15:33,15:45
0833,1234567,14:00,14:11,14:19,14:34,14:47,14:58,15:17,15:30,15:41,15:55,16:13,16:25
1649,----567,14:10,14:21,14:29,14:43,14:56,--:--,15:25,--:--,--:--,15:50,16:07,16:20
0137,1234567,14:20,14:31,14:39,--:--,--:--,--:--,15:20,--:--,--:--,--:--,--:--,16:05
0651,1234567,14:35,14:46,14:55,15:10,15:22,--:--,15:48,--:--,--:--,16:14,16:33,16:45
1233,----5--,14:40,14:51,14:59,--:--,--:--,--:--,15:40,--:--,--:--,--:--,16:18,16:30
0837,1234567,15:00,15:11,15:19,15:34,15:47,15:58,16:17,16:30,16:41,16:55,17:13,17:25
1655,----567,15:10,15:21,15:29,15:43,15:56,--:--,16:25,--:--,--:--,16:50,17:07,17:20
0141,1234567,15:20,15:31,15:39,--:--,--:--,--:--,16:20,--:--,--:--,--:--,--:--,17:05
1537,----5--,15:25,15:36,15:46,16:01,16:12,16:25,16:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0657,1234567,15:35,15:46,15:55,16:10,16:22,--:--,16:48,--:--,--:--,17:14,17:33,17:45
1237,----5-7,15:40,15:51,15:59,--:--,--:--,--:--,16:40,--:--,--:--,--:--,17:18,17:30
1321,1234---,15:50,16:01,--:--,16:20,--:--,--:--,16:54,17:06,17:17,17:30,17:48,18:00
0841,1234567,16:00,16:11,16:19,16:34,16:47,16:58,17:17,17:30,17:41,17:55,18:13,18:25
0661,1234567,16:10,16:21,16:29,16:43,16:56,--:--,17:25,--:--,--:--,17:50,18:07,18:20
0145,1234567,16:20,16:31,16:39,--:--,--:--,--:--,17:20,--:--,--:--,--:--,--:--,18:05
1541,----5-7,16:25,16:36,16:49,17:01,17:12,17:25,17:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0663,1234567,16:35,16:46,16:55,17:10,17:22,--:--,17:48,--:--,--:--,18:14,18:33,18:45
1241,12345-7,16:40,16:51,16:59,--:--,--:--,--:--,17:40,--:--,--:--,--:--,18:18,18:30
0845,1234567,17:00,17:11,17:19,17:34,17:47,17:58,18:17,18:30,18:41,18:55,19:13,19:25
0667,1234567,17:10,17:21,17:29,17:43,17:56,--:--,18:25,--:--,--:--,18:50,19:07,19:20
0149,1234567,17:20,17:31,17:39,--:--,--:--,--:--,18:20,--:--,--:--,--:--,--:--,19:05
1545,----5-7,17:25,17:36,17:46,18:01,18:12,18:25,18:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0669,1234567,17:35,17:46,17:55,18:10,18:22,--:--,18:48,--:--,--:--,19:14,19:33,19:45
1245,---45-7,17:40,17:51,17:59,--:--,--:--,--:--,18:40,--:--,--:--,--:--,19:18,19:30
0849,1234567,18:00,18:11,18:19,18:34,18:47,18:58,19:17,19:30,19:41,19:55,20:13,20:25
0673,1234567,18:10,18:21,18:29,18:43,18:56,--:--,19:25,--:--,--:--,19:50,20:07,20:20
0153,1234567,18:20,18:31,18:39,--:--,--:--,--:--,19:20,--:--,--:--,--:--,--:--,20:05
1549,12345-7,18:25,18:36,18:46,19:01,19:12,19:25,19:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0675,1234567,18:35,18:46,18:55,19:10,19:22,--:--,19:48,--:--,--:--,20:14,20:33,20:45
0249,1234567,18:40,18:51,18:59,--:--,--:--,--:--,19:40,--:--,--:--,--:--,20:18,20:30
1327,----5--,18:50,19:01,--:--,19:20,--:--,--:--,19:54,20:06,20:17,20:30,20:48,21:00
0853,1234567,19:00,19:11,19:19,19:34,19:47,19:58,20:17,20:30,20:41,20:55,21:13,21:25
1679,---4567,19:10,19:21,19:29,19:43,19:56,--:--,20:25,--:--,--:--,20:50,21:07,21:20
0157,1234567,19:20,19:31,19:39,--:--,--:--,--:--,20:20,--:--,--:--,--:--,--:--,21:05
1553,----5-7,19:25,19:36,19:46,20:01,20:12,20:25,20:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0681,1234567,19:35,19:46,19:55,20:10,20:22,--:--,20:48,--:--,--:--,21:14,21:33,21:45
1253,----5-7,19:40,19:51,19:59,--:--,--:--,--:--,20:40,--:--,--:--,--:--,21:18,21:30
0857,1234567,20:00,20:11,20:19,20:34,20:47,20:58,21:17,21:30,21:41,21:55,22:13,22:25
1685,----567,20:10,20:21,20:29,20:43,20:56,--:--,21:25,--:--,--:--,21:50,22:07,22:20
0161,1234567,20:20,20:31,20:39,--:--,--:--,--:--,21:20,--:--,--:--,--:--,--:--,22:05
1557,----5-7,20:25,20:36,20:46,21:01,21:12,21:25,21:42,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0687,1234567,20:35,20:46,20:55,21:10,21:22,--:--,21:48,--:--,--:--,22:14,22:33,22:45
1257,----5-7,20:40,20:51,20:59,--:--,--:--,--:--,21:40,--:--,--:--,--:--,22:18,22:30
0861,1234567,21:00,21:11,21:19,21:34,21:47,21:58,22:17,22:30,22:41,22:55,23:13,23:25
1691,----5--,21:10,21:21,21:29,21:43,21:56,--:--,22:25,--:--,--:--,22:50,23:07,23:20
0165,1234567,21:20,21:31,21:39,--:--,--:--,--:--,22:20,--:--,--:--,--:--,--:--,23:05
0693,1234567,21:30,21:41,21:50,22:05,22:17,--:--,22:43,--:--,--:--,23:09,23:28,23:40
0333,1234567,21:45,21:56,--:--,22:15,--:--,--:--,22:49,23:01,23:12,23:24,23:42,23:55
1563,----5-7,21:55,22:05,22:14,22:27,22:38,22:52,23:10,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0295,1234567,22:05,22:16,--:--,22:35,--:--,--:--,23:07,--:--,--:--,23:30,23:48,23:59
0565,1234567,22:15,22:26,22:35,22:48,23:00,23:12,23:29,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
0567,1234567,22:50,23:00,23:08,23:21,23:32,23:43,23:59,xxxxx,xxxxx,xxxxx,xxxxx,xxxxx
